id,created_at,created_by,invite_code,max_uses,used_count,expires_at,invite_type,message,is_active
9e23a9fd-aebd-4f3e-9b30-d10fe3e259f2,2025-07-28 13:16:29.295074+00,8b8fd42a-aa5b-42b1-83ba-523e9f134d14,477de6fe-067,1,0,2025-07-29 13:16:29.295074+00,teacher_to_student,,t
6ca0c06f-631e-4ddc-8891-d91fb29e1564,2025-07-28 13:18:05.112047+00,8b8fd42a-aa5b-42b1-83ba-523e9f134d14,c34c516b-182,1,0,2025-07-29 13:18:05.112047+00,teacher_to_student,,t
ebded54f-29d1-40db-8b29-da8b7be23afb,2025-07-28 13:20:05.177402+00,8b8fd42a-aa5b-42b1-83ba-523e9f134d14,ac7c0a4c-0fa,1,0,2025-07-29 13:20:05.177402+00,teacher_to_student,,t
b8dea610-2753-4c1d-8711-37fff003a4a5,2025-07-28 13:23:36.519383+00,8b8fd42a-aa5b-42b1-83ba-523e9f134d14,4edbba49-8d9,1,0,2025-07-29 13:23:36.519383+00,teacher_to_student,,t
90c599fa-3cb2-4b8e-83ae-b6b923703852,2025-07-28 13:24:41.390999+00,8b8fd42a-aa5b-42b1-83ba-523e9f134d14,9293d34c-d73,1,0,2025-07-29 13:24:41.390999+00,teacher_to_student,,t
8aa76239-254a-4b85-9873-43a63681c1d7,2025-07-28 13:25:20.10755+00,8b8fd42a-aa5b-42b1-83ba-523e9f134d14,f7e6eb1f-f09,1,0,2025-07-29 13:25:20.10755+00,teacher_to_student,,t
337cc1cc-f093-4510-9734-860f58be774e,2025-07-28 13:25:35.125413+00,8b8fd42a-aa5b-42b1-83ba-523e9f134d14,a21d7cc6-636,1,0,2025-07-29 13:25:35.125413+00,teacher_to_student,,t
1493c474-ec7d-46cb-a329-6159f2c5dc96,2025-07-28 13:26:34.767577+00,8b8fd42a-aa5b-42b1-83ba-523e9f134d14,fce1ada0-c03,1,0,2025-07-29 13:26:34.767577+00,teacher_to_student,,t
438db6a8-daf8-4520-a695-c825a5790155,2025-07-28 13:36:25.768682+00,8b8fd42a-aa5b-42b1-83ba-523e9f134d14,0cc87f40-189,1,0,2025-07-29 13:36:25.768682+00,teacher_to_student,,t
bde7fa26-55b0-4615-b3b9-797648dc1435,2025-07-28 13:38:37.643658+00,8b8fd42a-aa5b-42b1-83ba-523e9f134d14,a66d3bf7-e8d,1,0,2025-07-29 13:38:37.643658+00,teacher_to_student,,t
73bf6bd5-c538-4a66-b003-c5b53ccbf8b8,2025-07-28 13:40:56.422714+00,3c563dbe-f980-4f86-98c6-7a41c60f7699,f1767be5-974,1,0,2025-07-29 13:40:56.422714+00,student_to_teacher,,t
c69cbffb-489c-4593-8128-04d9194e1e15,2025-07-28 13:41:01.725047+00,3c563dbe-f980-4f86-98c6-7a41c60f7699,0bc9cc3d-7e9,1,0,2025-07-29 13:41:01.725047+00,student_to_teacher,,t
08ece800-012b-451a-9eb3-0afc957c3cc9,2025-07-28 13:42:24.293151+00,8b8fd42a-aa5b-42b1-83ba-523e9f134d14,c1a0f195-901,1,0,2025-07-29 13:42:24.293151+00,teacher_to_student,,t
742caa0a-1f30-4bf1-83c8-6426222c2189,2025-07-28 13:45:25.328892+00,3c563dbe-f980-4f86-98c6-7a41c60f7699,dc5f70f6-30d,1,0,2025-07-29 13:45:25.328892+00,student_to_teacher,,t
10300ed6-0dda-48c8-8385-ac5b001267da,2025-07-28 13:46:14.298728+00,8b8fd42a-aa5b-42b1-83ba-523e9f134d14,bc8df2d1-322,1,0,2025-07-29 13:46:14.298728+00,teacher_to_student,,t
ca915b06-d651-47fa-ab15-6dc1e9fda21e,2025-07-28 13:46:41.472264+00,3c563dbe-f980-4f86-98c6-7a41c60f7699,a9fed8dd-55f,1,0,2025-07-29 13:46:41.472264+00,student_to_teacher,,t
7893a800-0690-495d-a34d-6a2e758db501,2025-07-28 13:48:10.993042+00,3c563dbe-f980-4f86-98c6-7a41c60f7699,3729e284-e3c,1,0,2025-07-29 13:48:10.993042+00,student_to_teacher,,t
8453658b-5e30-4796-88b6-a0dda917d5f8,2025-07-28 13:48:14.428308+00,3c563dbe-f980-4f86-98c6-7a41c60f7699,d20df291-7db,1,0,2025-07-29 13:48:14.428308+00,student_to_teacher,,t
5317a66d-7099-4aff-abc2-c26fb929c200,2025-07-28 13:49:10.559877+00,3c563dbe-f980-4f86-98c6-7a41c60f7699,2e23c4d3-23f,1,0,2025-07-29 13:49:10.559877+00,student_to_teacher,,t
f324dd08-9c53-408a-ae54-8e7bb6bd981a,2025-07-28 13:49:28.206659+00,3c563dbe-f980-4f86-98c6-7a41c60f7699,45d1fe82-0b3,1,0,2025-07-29 13:49:28.206659+00,student_to_teacher,,t
bcdff583-6060-46df-ac0e-8843d3a66a06,2025-07-28 13:50:35.600428+00,3c563dbe-f980-4f86-98c6-7a41c60f7699,5b6ba006-d6b,1,0,2025-07-29 13:50:35.600428+00,student_to_teacher,,t
f428b358-a624-46fe-a3c5-fb5617f551ab,2025-07-28 13:50:45.486326+00,8b8fd42a-aa5b-42b1-83ba-523e9f134d14,53e887f2-893,1,0,2025-07-29 13:50:45.486326+00,teacher_to_student,,t
c214118e-0a61-4b9f-8da3-71f2f0395504,2025-07-28 13:52:08.679953+00,8b8fd42a-aa5b-42b1-83ba-523e9f134d14,2d64a1a4-964,1,0,2025-07-29 13:52:08.679953+00,teacher_to_student,,t
6425189c-f6ee-4ef4-b22f-4d651939c38e,2025-07-28 13:54:10.090647+00,8b8fd42a-aa5b-42b1-83ba-523e9f134d14,c4f69da8-798,1,0,2025-07-29 13:54:10.090647+00,teacher_to_student,,t
257e4c7d-07b4-42d6-8026-9fa7564e9d44,2025-07-28 13:54:29.78462+00,8b8fd42a-aa5b-42b1-83ba-523e9f134d14,1bc81884-558,1,0,2025-07-29 13:54:29.78462+00,teacher_to_student,,t
6d5a8aa8-6d30-48ba-8881-0385e712c5e0,2025-07-28 13:54:57.996868+00,8b8fd42a-aa5b-42b1-83ba-523e9f134d14,8817ab0c-3db,1,0,2025-07-29 13:54:57.996868+00,teacher_to_student,,t
4caf4f39-c951-4b6b-811e-e7112ca08410,2025-07-28 13:55:12.447394+00,8b8fd42a-aa5b-42b1-83ba-523e9f134d14,41793d4b-727,1,0,2025-07-29 13:55:12.447394+00,teacher_to_student,,t
a6625b57-66cf-437e-b9b6-7ce1db8c3a03,2025-07-28 13:55:51.323853+00,8b8fd42a-aa5b-42b1-83ba-523e9f134d14,b91dd277-7b3,1,0,2025-07-29 13:55:51.323853+00,teacher_to_student,,t
5f15f289-2b8e-4ede-9d62-0de051d7857c,2025-07-28 13:58:18.459806+00,8b8fd42a-aa5b-42b1-83ba-523e9f134d14,30d5341c-ed4,1,0,2025-07-29 13:58:18.459806+00,teacher_to_student,,t
651d64d2-73f4-414a-949d-f5fd9e732631,2025-07-28 13:59:36.782873+00,8b8fd42a-aa5b-42b1-83ba-523e9f134d14,99966c90-cd1,1,0,2025-07-29 13:59:36.782873+00,teacher_to_student,,t
eb2e1533-4945-45e5-8df6-7819ab48e7a2,2025-07-28 13:59:43.812615+00,3c563dbe-f980-4f86-98c6-7a41c60f7699,300fc83a-ad5,1,0,2025-07-29 13:59:43.812615+00,student_to_teacher,,t
fc7034f6-40a4-4908-9c7b-15d7f0ea5c2b,2025-07-28 14:00:04.225113+00,3c563dbe-f980-4f86-98c6-7a41c60f7699,61cabdf8-10d,1,0,2025-07-29 14:00:04.225113+00,student_to_teacher,,t
5fc6c465-a6de-4cfd-9bc4-5be801786735,2025-07-28 14:00:41.707184+00,8b8fd42a-aa5b-42b1-83ba-523e9f134d14,dfc717ba-213,1,0,2025-07-29 14:00:41.707184+00,teacher_to_student,,t
b2d054e9-5cee-44af-9ec7-301e5731a13d,2025-07-28 14:01:29.524014+00,3c563dbe-f980-4f86-98c6-7a41c60f7699,3c783908-9b3,1,0,2025-07-29 14:01:29.524014+00,student_to_teacher,,t
0bd0a5f5-039f-4062-9cea-52a0791cbb78,2025-07-28 14:02:07.898831+00,3c563dbe-f980-4f86-98c6-7a41c60f7699,ee9b424d-3a5,1,0,2025-07-29 14:02:07.898831+00,student_to_teacher,,t
3ad64853-03f6-4fe1-a969-c1daa8cc223d,2025-07-28 14:02:49.003882+00,3c563dbe-f980-4f86-98c6-7a41c60f7699,b81a961c-ca5,1,0,2025-07-29 14:02:49.003882+00,student_to_teacher,,t
39727785-27a4-484d-a3f2-edfe4c9725e9,2025-07-28 14:02:50.117718+00,3c563dbe-f980-4f86-98c6-7a41c60f7699,6f491d0a-fec,1,0,2025-07-29 14:02:50.117718+00,student_to_teacher,,t
af02165a-3860-4371-95fd-fd9cba4ea16c,2025-07-28 14:02:57.758927+00,3c563dbe-f980-4f86-98c6-7a41c60f7699,c0e43a7b-314,1,0,2025-07-29 14:02:57.758927+00,student_to_teacher,,t
e03f536e-020e-4994-947d-60ca30259998,2025-07-28 14:03:17.628287+00,8b8fd42a-aa5b-42b1-83ba-523e9f134d14,536ed69a-d9e,1,0,2025-07-29 14:03:17.628287+00,teacher_to_student,,t
9845b6c1-bf84-42f7-b2a8-5054f4caf56c,2025-07-28 14:05:31.274318+00,3c563dbe-f980-4f86-98c6-7a41c60f7699,5fc843fe-565,1,0,2025-07-29 14:05:31.274318+00,student_to_teacher,,t
e1c79cb0-5d44-4ec5-8279-c2bf0022475a,2025-07-28 14:05:43.623601+00,3c563dbe-f980-4f86-98c6-7a41c60f7699,58967454-324,1,0,2025-07-29 14:05:43.623601+00,student_to_teacher,,t
df76ab04-0bff-48dc-bdd8-df73fda43e79,2025-07-28 14:05:45.941075+00,3c563dbe-f980-4f86-98c6-7a41c60f7699,d0eb150a-bb2,1,0,2025-07-29 14:05:45.941075+00,student_to_teacher,,t
2be3c0de-4e06-4b71-af76-e2edc2751791,2025-07-28 14:05:48.275545+00,3c563dbe-f980-4f86-98c6-7a41c60f7699,a5375f58-eb4,1,0,2025-07-29 14:05:48.275545+00,student_to_teacher,,t
f63ee2de-dce5-425a-a549-aaea214dc7d8,2025-07-28 14:05:49.56439+00,3c563dbe-f980-4f86-98c6-7a41c60f7699,013993f3-9df,1,0,2025-07-29 14:05:49.56439+00,student_to_teacher,,t
569cd08e-48ad-4745-8667-4c9c750c0512,2025-07-28 14:05:54.544489+00,8b8fd42a-aa5b-42b1-83ba-523e9f134d14,bb168360-542,1,0,2025-07-29 14:05:54.544489+00,teacher_to_student,,t
b75ff82e-2f69-4deb-8d2b-6c1aa961a992,2025-07-28 14:07:17.467167+00,3c563dbe-f980-4f86-98c6-7a41c60f7699,f6915239-648,1,0,2025-07-29 14:07:17.467167+00,student_to_teacher,,t
3ec79416-2322-4dce-a841-00fc371981ae,2025-07-28 14:07:19.121076+00,3c563dbe-f980-4f86-98c6-7a41c60f7699,2e7cdae6-a49,1,0,2025-07-29 14:07:19.121076+00,student_to_teacher,,t
b8e077b4-74f7-4dc1-8847-a8157e9b6e98,2025-07-28 14:07:31.068823+00,3c563dbe-f980-4f86-98c6-7a41c60f7699,64e84db3-fce,1,0,2025-07-29 14:07:31.068823+00,student_to_teacher,,t
e865405b-b264-4928-961a-035596af13c1,2025-07-28 14:08:25.194395+00,3c563dbe-f980-4f86-98c6-7a41c60f7699,8761c0bf-9ba,1,0,2025-07-29 14:08:25.194395+00,student_to_teacher,,t
8cfd2777-cfcf-405b-ba4c-70c2563a5476,2025-07-28 14:08:27.385098+00,3c563dbe-f980-4f86-98c6-7a41c60f7699,935d9414-4ed,1,0,2025-07-29 14:08:27.385098+00,student_to_teacher,,t
59c3f694-80b2-4eba-bf6e-0ab839538fcb,2025-07-28 14:08:29.582244+00,3c563dbe-f980-4f86-98c6-7a41c60f7699,df21950d-226,1,0,2025-07-29 14:08:29.582244+00,student_to_teacher,,t
0f954c93-c6e0-471c-a865-3ff0ccf25aff,2025-07-28 14:08:31.163714+00,3c563dbe-f980-4f86-98c6-7a41c60f7699,c67fbcc2-81f,1,0,2025-07-29 14:08:31.163714+00,student_to_teacher,,t
7e31c737-acae-4671-9829-13ae19fa3ead,2025-07-28 14:08:32.535772+00,3c563dbe-f980-4f86-98c6-7a41c60f7699,48b7f33b-2c4,1,0,2025-07-29 14:08:32.535772+00,student_to_teacher,,t
59a62ec6-3527-4983-8c48-be8ad5afe9c8,2025-07-28 14:08:34.762934+00,3c563dbe-f980-4f86-98c6-7a41c60f7699,b4d37368-c9d,1,0,2025-07-29 14:08:34.762934+00,student_to_teacher,,t
82128436-5be7-4c26-b1f9-592cd776b5fb,2025-07-28 14:09:32.158892+00,3c563dbe-f980-4f86-98c6-7a41c60f7699,b2baa9ab-6fb,1,0,2025-07-29 14:09:32.158892+00,student_to_teacher,,t
f9a181ff-7160-4d76-9a14-9e439a29e134,2025-07-28 14:10:29.015979+00,3c563dbe-f980-4f86-98c6-7a41c60f7699,0fe75d88-916,1,0,2025-07-29 14:10:29.015979+00,student_to_teacher,,t
2d7f9cc2-8d1e-41e3-87e3-fe016049af5f,2025-07-28 14:11:46.366396+00,3c563dbe-f980-4f86-98c6-7a41c60f7699,5842b9aa-dc3,1,0,2025-07-29 14:11:46.366396+00,student_to_teacher,,t
d4572e1d-38f8-41d7-b7ce-1aac6657de65,2025-07-28 14:11:49.320405+00,3c563dbe-f980-4f86-98c6-7a41c60f7699,702e3616-f02,1,0,2025-07-29 14:11:49.320405+00,student_to_teacher,,t
fc215e99-4f1a-497f-a5ba-b723f32103e2,2025-07-28 14:11:50.811853+00,3c563dbe-f980-4f86-98c6-7a41c60f7699,e3e6d897-fa5,1,0,2025-07-29 14:11:50.811853+00,student_to_teacher,,t
491c871d-bf08-4b4d-b166-b12bf42304f2,2025-07-28 14:12:47.288001+00,3c563dbe-f980-4f86-98c6-7a41c60f7699,7d030cfe-cab,1,0,2025-07-29 14:12:47.288001+00,student_to_teacher,,t
dddb84d0-ddb9-4ae6-a5f5-60e7ee13f698,2025-07-28 14:12:48.598927+00,3c563dbe-f980-4f86-98c6-7a41c60f7699,929ff167-7cb,1,0,2025-07-29 14:12:48.598927+00,student_to_teacher,,t
7c386e17-b55e-4ab8-bf27-29ae794efe79,2025-07-28 14:12:50.372309+00,3c563dbe-f980-4f86-98c6-7a41c60f7699,44f8b9ad-26a,1,0,2025-07-29 14:12:50.372309+00,student_to_teacher,,t
4abac462-ae19-45ef-9582-3a7cbcb70091,2025-07-28 14:12:52.812635+00,3c563dbe-f980-4f86-98c6-7a41c60f7699,e80d069e-342,1,0,2025-07-29 14:12:52.812635+00,student_to_teacher,,t
